"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.918560450E-1,-4.630500078E-1,4.663950443E0,8.053950310E0,9.318420716E0
2.943485060E-1,-4.819500148E-1,4.663950443E0,8.072999954E0,9.335846925E0
2.968409690E-1,-4.440000355E-1,4.624950409E0,8.035050392E0,9.281666721E0
2.993338920E-1,-4.630500078E-1,4.624950409E0,8.053950310E0,9.298962156E0
3.018268150E-1,-4.440000355E-1,4.587000370E0,8.035050392E0,9.262815081E0
3.043197420E-1,-4.630500078E-1,4.587000370E0,8.053950310E0,9.280145651E0
3.068126650E-1,-4.440000355E-1,4.549050331E0,8.035050392E0,9.244080795E0
3.093063580E-1,-4.630500078E-1,4.567950249E0,8.053950310E0,9.270744327E0
3.118000510E-1,-4.440000355E-1,4.549050331E0,8.035050392E0,9.244080795E0
3.142917410E-1,-4.630500078E-1,4.567950249E0,8.072999954E0,9.287298479E0
3.167834340E-1,-4.440000355E-1,4.549050331E0,8.072999954E0,9.277085922E0
3.192749140E-1,-4.630500078E-1,4.567950249E0,8.110950470E0,9.320305913E0
3.217664150E-1,-4.440000355E-1,4.549050331E0,8.110950470E0,9.310129563E0
3.242598000E-1,-4.630500078E-1,4.567950249E0,8.149950027E0,9.354264815E0
3.267531830E-1,-4.630500078E-1,4.549050331E0,8.149950027E0,9.345050009E0
3.292464520E-1,-4.819500148E-1,4.567950249E0,8.188050270E0,9.388429715E0
3.317397230E-1,-4.819500148E-1,4.549050331E0,8.188050270E0,9.379248475E0
3.342324680E-1,-5.400000215E-1,4.567950249E0,8.226000786E0,9.424694076E0
3.367252370E-1,-5.209500194E-1,4.549050331E0,8.226000786E0,9.414474853E0
3.392176980E-1,-5.400000215E-1,4.567950249E0,8.265000343E0,9.458752570E0
3.417101610E-1,-5.209500194E-1,4.549050331E0,8.265000343E0,9.448570184E0
3.442030840E-1,-5.400000215E-1,4.567950249E0,8.302950859E0,9.491931440E0
3.466960070E-1,-5.209500194E-1,4.530000210E0,8.302950859E0,9.472659806E0
3.491896310E-1,-5.400000215E-1,4.530000210E0,8.359950066E0,9.523721280E0
3.516832840E-1,-5.209500194E-1,4.491000175E0,8.359950066E0,9.504169432E0
3.541768600E-1,-5.400000215E-1,4.491000175E0,8.418000221E0,9.556328287E0
3.566704390E-1,-5.209500194E-1,4.453050137E0,8.418000221E0,9.537492971E0
3.591644390E-1,-5.400000215E-1,4.471950054E0,8.475000381E0,9.597685595E0
3.616584380E-1,-5.209500194E-1,4.453050137E0,8.494050026E0,9.604682727E0
3.641508560E-1,-5.400000215E-1,4.471950054E0,8.551950455E0,9.665701935E0
3.666432810E-1,-5.209500194E-1,4.453050137E0,8.551950455E0,9.655925695E0
3.691383590E-1,-5.400000215E-1,4.471950054E0,8.590050697E0,9.699428246E0
3.716334340E-1,-5.209500194E-1,4.453050137E0,8.590050697E0,9.689686033E0
3.741262410E-1,-5.400000215E-1,4.471950054E0,8.629050255E0,9.733984056E0
3.766190500E-1,-5.209500194E-1,4.453050137E0,8.629050255E0,9.724276464E0
3.791113720E-1,-5.400000215E-1,4.471950054E0,8.667000771E0,9.767642483E0
3.816036790E-1,-5.209500194E-1,4.453050137E0,8.667000771E0,9.757968375E0
3.840975260E-1,-5.400000215E-1,4.471950054E0,8.704950333E0,9.801331420E0
3.865913710E-1,-5.010000467E-1,4.434000015E0,8.704950333E0,9.781999667E0
3.890847170E-1,-4.819500148E-1,4.434000015E0,8.743050575E0,9.814966394E0
3.915780640E-1,-4.440000355E-1,4.394999981E0,8.743050575E0,9.795616072E0
3.940702320E-1,-4.440000355E-1,4.394999981E0,8.763000488E0,9.813426436E0
3.965623850E-1,-4.060500264E-1,4.357050419E0,8.743050575E0,9.776998432E0
3.990566950E-1,-4.060500264E-1,4.357050419E0,8.763000488E0,9.794842650E0
4.015510020E-1,-3.670500219E-1,4.318950176E0,8.743050575E0,9.758534199E0
4.040442690E-1,-3.670500219E-1,4.318950176E0,8.763000488E0,9.776412118E0
4.065375400E-1,-3.289500177E-1,4.281000137E0,8.743050575E0,9.740436523E0
4.090292180E-1,-2.910000086E-1,4.281000137E0,8.743050575E0,9.739228745E0
4.115209110E-1,-2.329500169E-1,4.242000103E0,8.723999977E0,9.703453312E0
4.140173360E-1,-2.140500098E-1,4.242000103E0,8.723999977E0,9.703017978E0
4.165137570E-1,-1.759500057E-1,4.185000420E0,8.704950333E0,9.660297470E0
4.190074470E-1,-1.570500135E-1,4.185000420E0,8.704950333E0,9.659971714E0
4.215011420E-1,-9.900000691E-2,4.126950264E0,8.667000771E0,9.599917804E0
4.239922600E-1,-9.900000691E-2,4.108050346E0,8.667000771E0,9.591808016E0
4.264833770E-1,-6.105000153E-2,4.051050186E0,8.629050255E0,9.532850729E0
4.289779550E-1,-6.105000153E-2,4.051050186E0,8.629050255E0,9.532850729E0
4.314725300E-1,-2.295000106E-2,4.012050152E0,8.590050697E0,9.480825075E0
4.339671830E-1,-2.295000106E-2,4.012050152E0,8.571000099E0,9.463567817E0
4.364618380E-1,1.500000060E-2,3.973950148E0,8.513999939E0,9.395780954E0
4.389550480E-1,-3.000000026E-3,3.973950148E0,8.494050026E0,9.377695592E0
4.414482810E-1,3.405000269E-2,3.936000109E0,8.437050819E0,9.310052781E0
4.439419340E-1,1.500000060E-2,3.936000109E0,8.418000221E0,9.292741769E0
4.464355870E-1,3.405000269E-2,3.897000074E0,8.359950066E0,9.223694167E0
4.489303950E-1,1.500000060E-2,3.897000074E0,8.341050148E0,9.206516831E0
4.514252040E-1,3.405000269E-2,3.859050274E0,8.284049988E0,9.138868235E0
4.539167540E-1,-3.000000026E-3,3.859050274E0,8.284049988E0,9.138805295E0
4.564082950E-1,-3.000000026E-3,3.840000153E0,8.245050430E0,9.095409104E0
4.589009110E-1,-4.200000316E-2,3.859050274E0,8.265000343E0,9.121637117E0
4.613935240E-1,-4.200000316E-2,3.840000153E0,8.245050430E0,9.095505581E0
4.638859470E-1,-6.105000153E-2,3.859050274E0,8.265000343E0,9.121744723E0
4.663783720E-1,-7.995000482E-2,3.840000153E0,8.245050430E0,9.095759989E0
4.688722280E-1,-1.369500011E-1,3.859050274E0,8.265000343E0,9.122568443E0
4.713660730E-1,-1.570500135E-1,3.840000153E0,8.265000343E0,9.114850331E0
4.738588410E-1,-2.140500098E-1,3.859050274E0,8.302950859E0,9.158443066E0
4.763516120E-1,-2.329500169E-1,3.840000153E0,8.302950859E0,9.150893937E0
4.788440730E-1,-2.719500065E-1,3.859050274E0,8.341050148E0,9.194527905E0
4.813365340E-1,-2.910000086E-1,3.840000153E0,8.341050148E0,9.187132292E0
4.838311510E-1,-3.289500177E-1,3.859050274E0,8.380050659E0,9.231778062E0
4.863257660E-1,-3.289500177E-1,3.820950270E0,8.380050659E0,9.215916565E0
4.888191490E-1,-3.670500219E-1,3.840000153E0,8.418000221E0,9.259754566E0
4.913125340E-1,-3.480000198E-1,3.802050114E0,8.418000221E0,9.243344460E0
4.938040720E-1,-3.670500219E-1,3.802050114E0,8.455950737E0,9.278653655E0
4.962956110E-1,-3.480000198E-1,3.763050079E0,8.455950737E0,9.262005872E0
4.987887230E-1,-3.670500219E-1,3.763050079E0,8.494050026E0,9.297535021E0
5.012818380E-1,-3.480000198E-1,3.724950075E0,8.494050026E0,9.281446165E0
5.037764140E-1,-3.480000198E-1,3.724950075E0,8.533050537E0,9.317151311E0
5.062709910E-1,-3.289500177E-1,3.687000275E0,8.513999939E0,9.283877105E0
5.087648360E-1,-3.289500177E-1,3.687000275E0,8.533050537E0,9.301351010E0
5.112586830E-1,-3.100500107E-1,3.648000240E0,8.513999939E0,9.267806198E0
5.137513510E-1,-3.289500177E-1,3.648000240E0,8.533050537E0,9.285960658E0
5.162440060E-1,-2.910000086E-1,3.610050201E0,8.494050026E0,9.233960651E0
5.187367750E-1,-3.100500107E-1,3.610050201E0,8.494050026E0,9.234580624E0
5.212295440E-1,-2.719500065E-1,3.571950197E0,8.455950737E0,9.183457295E0
5.237223130E-1,-2.910000086E-1,3.571950197E0,8.455950737E0,9.184041163E0
5.262150820E-1,-2.520000041E-1,3.553050280E0,8.418000221E0,9.140590682E0
5.287087940E-1,-2.719500065E-1,3.571950197E0,8.418000221E0,9.148525168E0
5.312024870E-1,-2.520000041E-1,3.553050280E0,8.380050659E0,9.105653153E0
5.336961780E-1,-2.719500065E-1,3.553050280E0,8.380050659E0,9.106227108E0
5.361898710E-1,-2.329500169E-1,3.514050245E0,8.359950066E0,9.071470660E0
5.386818690E-1,-2.520000041E-1,3.514050245E0,8.380050659E0,9.090506156E0
5.411738700E-1,-2.140500098E-1,3.495000124E0,8.359950066E0,9.063642114E0
5.436686470E-1,-2.329500169E-1,3.495000124E0,8.380050659E0,9.082650529E0
5.461634140E-1,-2.140500098E-1,3.457050085E0,8.359950066E0,9.049076074E0
5.486566050E-1,-2.329500169E-1,3.475950241E0,8.359950066E0,9.056779830E0
5.511497980E-1,-1.950000077E-1,3.438000202E0,8.322000504E0,9.006306833E0
5.536436840E-1,-2.140500098E-1,3.438000202E0,8.322000504E0,9.006739431E0
5.561375690E-1,-1.950000077E-1,3.399000168E0,8.284049988E0,8.956378249E0
5.586317510E-1,-2.140500098E-1,3.399000168E0,8.265000343E0,8.939197404E0
5.611259040E-1,-1.759500057E-1,3.342000246E0,8.226000786E0,8.880710162E0
5.636205190E-1,-1.570500135E-1,3.322950125E0,8.226000786E0,8.873204109E0
5.661151360E-1,-1.180500090E-1,3.265050173E0,8.188050270E0,8.815818491E0
