"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.872838760E-1,3.019500077E-1,9.000000544E-3,9.337050438E0,9.341935864E0
3.897525290E-1,3.210000098E-1,-9.000000544E-3,9.355950356E0,9.361459772E0
3.922211840E-1,3.400500119E-1,9.000000544E-3,9.376049995E0,9.382218742E0
3.946924160E-1,1.048950076E0,-9.000000544E-3,8.763000488E0,8.825562578E0
3.971636450E-1,9.919500351E-1,9.000000544E-3,8.782050133E0,8.837898529E0
3.996328740E-1,4.360500276E-1,-9.000000544E-3,9.567000389E0,9.576936727E0
4.021021070E-1,3.979500234E-1,9.000000544E-3,1.021800041E1,1.022575071E1
4.045719540E-1,3.979500234E-1,-9.000000544E-3,1.019895077E1,1.020671553E1
4.070417990E-1,3.790500164E-1,9.000000544E-3,1.019895077E1,1.020599611E1
4.095097980E-1,3.979500234E-1,-9.000000544E-3,9.625050545E0,9.633277906E0
4.119777990E-1,3.600000143E-1,9.000000544E-3,9.663000107E0,9.669707962E0
4.144451460E-1,-1.759500057E-1,-9.000000544E-3,1.031400013E1,1.031550474E1
4.169124910E-1,-1.759500057E-1,9.000000544E-3,1.033305073E1,1.033455257E1
4.193815790E-1,4.360500276E-1,-9.000000544E-3,1.027605057E1,1.028530194E1
4.218506560E-1,4.170000255E-1,9.000000544E-3,9.376049995E0,9.385322772E0
4.243202320E-1,4.360500276E-1,-9.000000544E-3,9.318000793E0,9.328202368E0
4.267898090E-1,4.170000255E-1,9.000000544E-3,9.298950195E0,9.308299778E0
4.292594630E-1,4.360500276E-1,-9.000000544E-3,9.280050278E0,9.290293525E0
4.317291180E-1,4.170000255E-1,9.000000544E-3,9.298950195E0,9.308299778E0
4.341992890E-1,4.360500276E-1,-9.000000544E-3,9.298950195E0,9.309172646E0
4.366694820E-1,4.549500346E-1,9.000000544E-3,9.355950356E0,9.367009533E0
4.391364030E-1,1.048950076E0,-9.000000544E-3,9.892950058E0,9.948408823E0
4.416033280E-1,1.048950076E0,9.000000544E-3,9.931050301E0,9.986297479E0
4.440691360E-1,1.662000060E0,-9.000000544E-3,9.949950218E0,1.008780623E1
